counterparty,mode,amount,hour,day_of_week,freq_per_week,avg_amount_counterparty,transaction_count_counterparty,days_since_last_transaction,category
General Store,CARD,1798.81,15,Friday,1,1347.85,1,4,Miscellaneous
City Mart,UPI,2173.39,21,Sunday,3,3385.05,11,2,Groceries
General Store,CASH,1295.11,14,Tuesday,4,2090.83,7,16,Miscellaneous
Apollo,UPI,2819.88,11,Tuesday,1,1340.9,7,58,Miscellaneous
Amazon,CARD,1723.63,11,Sunday,1,2070.55,10,21,Miscellaneous
Maa Grocery,CARD,317.91,10,Friday,2,389.89,6,13,Groceries
Electricity Office,CARD,1557.95,15,Friday,1,2088.18,4,10,Miscellaneous
Fresh Point,UPI,535.83,8,Sunday,5,462.89,9,7,Groceries
Kumar Enterprises,UPI,2406.2,10,Tuesday,4,1669.59,3,8,Miscellaneous
Local Cafe,CASH,516.63,12,Friday,2,755.43,5,1,Food
Kumar Cafe,CARD,1267.09,21,Tuesday,3,957.16,6,4,Food
City Hospital,CARD,256.94,10,Sunday,1,281.54,5,118,Miscellaneous
Movie Zone,UPI,2063.76,15,Friday,1,2586.45,23,3,Entertainment
Water Board,UPI,3275.48,10,Monday,1,2046.08,2,4,Miscellaneous
Ola Cabs,CASH,2391.16,18,Friday,3,2334.64,14,2,Transport
Rakesh,UPI,1209.07,12,Sunday,5,759.69,44,1,Food
Local Cafe,NETBANKING,117.04,19,Sunday,5,201.6,15,0,Food
Annapurna,UPI,252.39,8,Saturday,7,165.58,5,6,Food
Jio,UPI,2113.06,16,Thursday,1,760.17,10,95,Miscellaneous
Green Bites,UPI,1303.2,20,Saturday,2,989.16,14,1,Food
Local Store,UPI,1275.12,10,Monday,1,1283.55,7,10,Miscellaneous
Book Store,UPI,1256.78,10,Thursday,1,1215.32,1,12,Miscellaneous
Auto Driver,UPI,2206.04,10,Friday,1,3611.09,18,0,Transport
Fresh Point,CARD,620.84,10,Thursday,1,619.79,14,8,Groceries
Ananya Stores,UPI,2212.06,11,Friday,1,2694.23,43,6,Groceries
Ola Cabs,UPI,409.83,8,Wednesday,5,471.81,14,16,Transport
Kumar Cafe,UPI,105.09,7,Tuesday,2,80.77,4,0,Food
Campus Canteen,UPI,481.26,20,Saturday,6,590.71,20,2,Food
PVR,UPI,320.62,22,Friday,3,274.2,6,4,Entertainment
Spotify,UPI,680.25,23,Wednesday,3,546.39,4,5,Entertainment
Clinic,CARD,2682.87,15,Sunday,1,1741.61,11,12,Miscellaneous
Campus Canteen,UPI,371.28,22,Monday,1,293.42,5,2,Food
Green Bites,UPI,762.18,19,Tuesday,4,810.27,3,6,Food
Airtel,UPI,1600.01,15,Wednesday,1,1120.73,9,7,Miscellaneous
Rajesh,NETBANKING,8547.05,21,Tuesday,3,6575.15,3,30,Miscellaneous
Airtel,UPI,936.65,14,Saturday,1,1017.4,11,34,Miscellaneous
Room Owner,CASH,17393.82,12,Saturday,1,22037.89,10,10,Miscellaneous
Auto Driver,CARD,583.68,18,Friday,5,574.85,45,0,Transport
Travel Agency,UPI,5046.26,18,Wednesday,1,2189.19,3,33,Miscellaneous
Flipkart,CARD,823.24,11,Wednesday,1,1219.38,17,15,Miscellaneous
Suresh,UPI,179.59,14,Saturday,2,224.58,15,2,Food
Cab Service,UPI,399.72,8,Wednesday,2,322.98,34,7,Transport
Rahul Kumar,UPI,1075.43,7,Wednesday,1,1216.2,12,3,Food
Gaming Cafe,NETBANKING,132.84,15,Thursday,1,144.69,8,11,Entertainment
Fresh Point,UPI,568.37,17,Saturday,3,583.21,5,5,Groceries
Campus Canteen,CARD,676.09,20,Tuesday,3,859.28,48,4,Food
City Mart,UPI,3250.16,18,Monday,2,1929.73,50,0,Groceries
Movie Zone,CARD,1244.56,20,Thursday,3,1701.57,4,5,Entertainment
Local Cafe,CARD,137.53,13,Saturday,6,147.67,5,2,Food
Airline,UPI,6422.42,16,Friday,1,9472.87,16,79,Miscellaneous
Cab Service,CASH,141.02,21,Thursday,7,292.41,15,1,Transport
Sai Restaurant,UPI,424.39,21,Thursday,2,403.3,12,2,Food
Fashion Point,CARD,612.97,12,Friday,1,318.37,3,15,Miscellaneous
Sai Restaurant,CARD,211.54,19,Wednesday,7,215.76,14,1,Food
Green Bites,UPI,843.05,14,Wednesday,4,591.59,21,1,Food
Fresh Basket,NETBANKING,162.26,8,Saturday,3,164.04,5,7,Groceries
Friend,UPI,1123.7,17,Wednesday,1,1509.98,15,4,Miscellaneous
BSNL,CARD,3939.37,20,Friday,2,3167.55,4,10,Miscellaneous
Arjun,CARD,13510.14,9,Monday,1,9276.58,5,22,Miscellaneous
Movie Zone,UPI,1079.08,12,Thursday,3,848.21,4,12,Entertainment
Training Center,CARD,1342.59,10,Monday,1,1262.54,2,11,Miscellaneous
Local Pharmacy,CARD,210.65,18,Wednesday,1,269.75,4,52,Miscellaneous
Power Services,CARD,1899.02,9,Monday,1,1834.94,3,41,Miscellaneous
Rahul Kumar,CARD,477.36,8,Saturday,6,337.42,8,2,Food
Myntra,CARD,9009.83,19,Wednesday,1,4577.85,3,47,Miscellaneous
Online Course,NETBANKING,12187.07,18,Tuesday,1,4720.76,3,118,Miscellaneous
Green Bites,CARD,145.96,19,Saturday,6,211.26,7,2,Food
Myntra,NETBANKING,968.41,20,Wednesday,1,1189.39,9,7,Miscellaneous
Auto Driver,CASH,41.19,10,Friday,4,40.0,19,2,Transport
Annapurna,CARD,193.24,7,Saturday,5,103.96,40,2,Food
Priya Foods,UPI,134.58,12,Monday,5,120.98,10,5,Food
Fresh Basket,UPI,1607.02,19,Tuesday,6,1717.37,12,1,Groceries
City Hospital,UPI,745.62,14,Monday,2,540.35,6,24,Miscellaneous
Metro Cab,CARD,176.65,22,Wednesday,5,158.95,9,9,Transport
Kumar Cafe,UPI,492.65,8,Thursday,4,699.82,17,1,Food
Book Store,UPI,325.9,10,Sunday,2,514.53,2,14,Miscellaneous
Electricity Office,CASH,609.57,18,Thursday,1,1399.49,2,0,Miscellaneous
Fashion Point,CARD,390.45,18,Friday,1,225.94,7,2,Miscellaneous
Ananya Stores,UPI,528.18,18,Wednesday,1,496.27,6,3,Groceries
Jio,UPI,3024.65,18,Thursday,1,2100.98,4,10,Miscellaneous
Gaming Cafe,CARD,1202.21,21,Friday,1,1131.27,6,1,Entertainment
Annapurna,UPI,304.74,12,Friday,3,265.65,4,1,Food
Local Cafe,CARD,95.49,12,Wednesday,5,66.1,9,1,Food
Local Cafe,UPI,1326.95,8,Thursday,1,3176.43,7,1,Food
General Store,CARD,3658.24,12,Saturday,1,4178.25,13,17,Miscellaneous
Uber,CARD,127.02,18,Thursday,4,92.05,12,7,Transport
Electricity Office,CARD,525.36,9,Tuesday,1,708.44,7,21,Miscellaneous
Gaming Cafe,CARD,432.98,15,Wednesday,2,334.68,9,88,Entertainment
Travel Agency,NETBANKING,576.03,10,Tuesday,1,313.26,4,39,Miscellaneous
Kiran,UPI,373.09,16,Saturday,1,381.75,8,11,Miscellaneous
Jio,UPI,4526.87,16,Thursday,1,5619.94,2,2,Miscellaneous
Rakesh,UPI,775.42,13,Tuesday,5,683.7,15,1,Food
Landlord,NETBANKING,21229.46,20,Monday,1,16384.39,6,7,Miscellaneous
Rahul Kumar,NETBANKING,322.42,7,Sunday,4,180.25,4,0,Food
Electro World,CASH,4101.64,21,Sunday,2,5899.61,14,4,Miscellaneous
Cloud Service,CARD,523.13,1,Tuesday,1,752.66,2,21,Entertainment
Priya Sharma,UPI,3475.88,12,Wednesday,2,1539.35,2,5,Miscellaneous
Rapido,CARD,307.3,21,Wednesday,4,274.58,16,1,Transport
Kiran,UPI,5544.13,20,Thursday,2,11643.73,17,1,Miscellaneous
Suresh,UPI,247.12,7,Thursday,6,278.41,14,3,Food
Software Service,NETBANKING,678.56,22,Tuesday,1,735.14,2,15,Entertainment
Water Board,NETBANKING,1335.49,18,Wednesday,1,1857.69,2,8,Miscellaneous
Gaming Cafe,CARD,280.55,15,Sunday,2,337.9,19,10,Entertainment
Fresh Basket,CASH,935.5,8,Sunday,4,1472.17,16,4,Groceries
Annapurna,UPI,296.49,9,Monday,2,256.47,6,3,Food
Daily Needs,UPI,1500.11,20,Tuesday,2,1415.05,13,0,Groceries
Kumar Enterprises,CASH,450.96,11,Wednesday,1,421.83,5,1,Miscellaneous
Exam Cell,UPI,3406.81,18,Saturday,4,1957.64,11,6,Miscellaneous
Metro Cab,UPI,64.81,22,Monday,6,57.47,23,2,Transport
Cab Service,UPI,2115.1,7,Saturday,7,2639.68,17,1,Transport
Event Ticket,NETBANKING,115.57,21,Tuesday,1,135.43,4,15,Entertainment
Maa Grocery,UPI,322.01,17,Sunday,1,259.54,3,2,Groceries
Power Services,CARD,1823.37,20,Monday,3,1511.99,9,9,Miscellaneous
Internet Services,UPI,1311.6,15,Tuesday,1,1699.52,3,34,Miscellaneous
Medical Store,UPI,2082.71,11,Saturday,1,2942.34,3,11,Miscellaneous
Online Course,UPI,10116.73,8,Tuesday,2,19237.65,4,13,Miscellaneous
Fresh Basket,UPI,451.8,11,Wednesday,4,812.44,13,1,Groceries
Auto Driver,NETBANKING,1065.68,17,Tuesday,3,2068.86,11,5,Transport
Hotel,UPI,695.98,12,Saturday,1,926.6,4,20,Miscellaneous
Training Center,UPI,15568.13,8,Friday,1,16064.04,8,28,Miscellaneous
Suresh,UPI,240.8,7,Sunday,3,251.14,16,0,Food
Local Pharmacy,CASH,373.33,10,Tuesday,3,577.34,7,75,Miscellaneous
Rahul Kumar,CARD,1325.83,19,Wednesday,4,1058.36,21,6,Food
Auto Driver,UPI,894.08,18,Sunday,5,463.31,18,8,Transport
Metro Cab,UPI,182.43,8,Tuesday,1,222.9,25,1,Transport
Training Center,UPI,1086.1,18,Monday,2,1638.99,1,118,Miscellaneous
Rapido,UPI,387.86,13,Saturday,5,325.83,11,1,Transport
Amazon,CARD,5085.44,10,Tuesday,4,10057.62,6,3,Miscellaneous
Ola Cabs,CASH,2023.98,20,Monday,4,3044.56,13,1,Transport
Reliance Smart,NETBANKING,368.46,20,Saturday,5,276.84,8,0,Groceries
Water Board,CARD,545.83,12,Monday,2,628.99,4,5,Miscellaneous
Maa Grocery,CARD,586.94,11,Friday,4,602.11,4,5,Groceries
Campus Canteen,UPI,1309.23,22,Tuesday,5,839.13,5,2,Food
Friend,UPI,1125.18,22,Sunday,1,756.45,7,16,Miscellaneous
Local Mart,CARD,2985.97,8,Thursday,2,2716.08,7,3,Groceries
Movie Zone,CARD,2781.33,17,Sunday,2,1488.27,12,15,Entertainment
Local Store,CARD,606.18,12,Friday,1,726.72,23,10,Miscellaneous
Amazon,CARD,296.53,18,Monday,4,199.4,14,32,Miscellaneous
General Store,CARD,6287.94,14,Sunday,1,7143.63,9,5,Miscellaneous
Internet Services,UPI,596.71,9,Tuesday,2,493.99,8,4,Miscellaneous
Annapurna,UPI,234.6,13,Saturday,6,194.25,10,0,Food
Local Mart,UPI,960.91,20,Sunday,2,842.07,2,0,Groceries
Property Manager,NETBANKING,28309.83,12,Wednesday,1,14788.29,5,12,Miscellaneous
Cab Service,UPI,1453.24,10,Wednesday,5,1660.41,13,2,Transport
YouTube,UPI,597.91,8,Friday,2,614.43,4,37,Entertainment
Priya Foods,UPI,221.81,19,Wednesday,3,166.76,28,1,Food
Jio,UPI,391.97,9,Thursday,2,474.53,10,15,Miscellaneous
Water Board,NETBANKING,908.57,14,Tuesday,1,1504.55,4,17,Miscellaneous
Campus Canteen,UPI,681.59,22,Wednesday,4,578.52,44,1,Food
Priya Foods,UPI,174.94,13,Monday,2,226.81,20,2,Food
Rakesh,UPI,90.98,14,Tuesday,1,83.58,9,0,Food
Flipkart,UPI,7744.84,11,Monday,1,9820.87,5,3,Miscellaneous
BookMyShow,CARD,135.07,15,Wednesday,2,106.2,6,15,Entertainment
Campus Canteen,CARD,779.93,8,Sunday,4,969.21,26,1,Food
Internet Services,UPI,846.23,20,Tuesday,1,576.75,14,6,Miscellaneous
BSNL,UPI,5643.79,20,Wednesday,2,5731.81,3,5,Miscellaneous
Annapurna,UPI,403.55,8,Tuesday,3,184.12,6,11,Food
Fashion Point,CARD,326.84,17,Monday,1,186.7,10,28,Miscellaneous
YouTube,UPI,338.13,8,Monday,1,469.04,1,8,Entertainment
Gaming Cafe,UPI,363.62,21,Monday,3,302.6,2,4,Entertainment
Metro Cab,UPI,44.66,8,Saturday,3,43.38,39,12,Transport
